"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
0.0295171644727658,0.270275552658804,0.201,0.171,1,"Nrip3","KO_vs_WT"
0.0295626672157682,-0.392126624288053,0.098,0.124,1,"Mir155hg","KO_vs_WT"
0.0296483954127789,-0.364148700374547,0.305,0.336,1,"Frmd4a","KO_vs_WT"
0.0296493505834102,0.463995215126821,0.188,0.16,1,"Gpatch1","KO_vs_WT"
0.0296548954398743,0.306599586319669,0.161,0.134,1,"Btd","KO_vs_WT"
0.0298076278930775,-0.894976916390947,0.276,0.315,1,"Rnase4","KO_vs_WT"
0.0298157463046025,0.276466458101914,0.399,0.363,1,"Socs5","KO_vs_WT"
0.0305388241519842,0.499901680687302,0.188,0.159,1,"Shprh","KO_vs_WT"
0.0307245110735754,-0.449335846376594,0.66,0.619,1,"Slurp1","KO_vs_WT"
0.030939098070469,-0.6860977975257,0.112,0.138,1,"Naif1","KO_vs_WT"
0.031037420197152,-0.256504833203524,0.505,0.454,1,"Skap2","KO_vs_WT"
0.0310728630751028,-0.667349429221674,0.223,0.251,1,"Pou2f3","KO_vs_WT"
0.0312366811135088,0.492547008134939,0.242,0.217,1,"Gpr132","KO_vs_WT"
0.0312995385155381,0.280835832340354,0.238,0.209,1,"Prps1l3","KO_vs_WT"
0.031302037298552,0.307788518004144,0.226,0.194,1,"4930452B06Rik","KO_vs_WT"
0.0315141346390359,0.473066850389039,0.213,0.181,1,"Ifit1bl1","KO_vs_WT"
0.0315389622301526,-0.270058396625883,0.734,0.724,1,"Mbtd1","KO_vs_WT"
0.0317868958807512,0.407631144147525,0.273,0.242,1,"Klhl12","KO_vs_WT"
0.0319345435839947,0.788761395787954,0.231,0.2,1,"Plekha8","KO_vs_WT"
0.0319732297914386,0.302654168297458,0.201,0.169,1,"Adora2b","KO_vs_WT"
0.0322391990644963,0.254303230352836,0.148,0.122,1,"Dlk2","KO_vs_WT"
0.0323400033828663,-0.290013386541797,0.66,0.651,1,"Rnaset2b","KO_vs_WT"
0.0325269561934222,0.266907666594179,0.193,0.164,1,"Zfyve19","KO_vs_WT"
0.0326080789113078,0.305192267598793,0.138,0.115,1,"Dpysl3","KO_vs_WT"
0.0326486291387997,0.28359422284174,0.385,0.342,1,"Isca2","KO_vs_WT"
0.0328308963457626,0.307283966232075,0.153,0.127,1,"1700012D14Rik","KO_vs_WT"
0.0331610223546395,0.348674786897003,0.123,0.099,1,"Troap","KO_vs_WT"
0.0333822932691568,-0.919504470419856,0.078,0.101,1,"Nfkbid","KO_vs_WT"
0.0337012896885646,0.287558103688328,0.308,0.277,1,"Castor1","KO_vs_WT"
0.0337838531583569,0.258239361752722,0.165,0.136,1,"Kctd13","KO_vs_WT"
0.0339613908212239,0.28540788459555,0.262,0.234,1,"Trim39","KO_vs_WT"
0.0341587453851939,0.679790982235625,0.167,0.138,1,"Cxxc5","KO_vs_WT"
0.0344904485010658,0.254133039777757,0.166,0.138,1,"Bend7","KO_vs_WT"
0.0345202053264364,0.315615282880207,0.164,0.138,1,"Gm14296","KO_vs_WT"
0.0345550301436951,-0.420177497477615,0.261,0.228,1,"Man2b1","KO_vs_WT"
0.0348896954159662,0.459333849741443,0.105,0.082,1,"Gm41307","KO_vs_WT"
0.0351070472541263,0.500558203964766,0.151,0.124,1,"Fbxo46","KO_vs_WT"
0.0351630433527995,0.709266726689648,0.159,0.136,1,"Gm10053","KO_vs_WT"
0.0352922455748765,0.877727317207762,0.121,0.098,1,"Bbs5","KO_vs_WT"
