"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
0.36613114232372,0.260301951016231,0.166,0.143,1,"Arl4a","KO_vs_WT"
0.366660007221771,-0.310628551705383,0.352,0.372,1,"Lekr1","KO_vs_WT"
0.367027731510366,-0.667807421812104,0.176,0.149,1,"Ly6c1","KO_vs_WT"
0.367165416772841,-0.310588446465353,0.134,0.11,1,"Gm12840","KO_vs_WT"
0.36752369184303,-0.452600350097845,0.195,0.209,1,"Lancl1","KO_vs_WT"
0.369356529933438,-0.503007668438527,0.136,0.154,1,"4833427F10Rik","KO_vs_WT"
0.370006378146753,-0.492360594696927,0.164,0.179,1,"Lrif1","KO_vs_WT"
0.370073107477771,-0.328538596796236,0.112,0.129,1,"Cenpc1","KO_vs_WT"
0.370820289117167,-0.395600106957682,0.293,0.311,1,"Slc39a6","KO_vs_WT"
0.371138561915257,-0.287603426720828,0.167,0.187,1,"Cav2","KO_vs_WT"
0.37151062869265,-0.322231217695434,0.288,0.303,1,"Ptov1","KO_vs_WT"
0.371938674645994,-0.98712144113494,0.103,0.118,1,"Lce3b","KO_vs_WT"
0.374210818792466,0.271441449833212,0.228,0.201,1,"Mpv17l2","KO_vs_WT"
0.375398318143642,-0.386358360727728,0.107,0.124,1,"Gorab","KO_vs_WT"
0.375716644896668,-0.60150984760626,0.116,0.132,1,"Hltf","KO_vs_WT"
0.375739099699402,-0.350347863339907,0.16,0.182,1,"Il17re","KO_vs_WT"
0.37691489438192,-0.301534627057653,0.243,0.259,1,"Paxx","KO_vs_WT"
0.377789488076906,-0.292010672971194,0.179,0.198,1,"Fam83b","KO_vs_WT"
0.378235477594181,-1.21947545958631,0.095,0.11,1,"Ranbp17","KO_vs_WT"
0.379661700770791,-0.419192774463711,0.219,0.19,1,"Cep95","KO_vs_WT"
0.37988467133178,-0.365120072566227,0.226,0.237,1,"Slc25a13","KO_vs_WT"
0.381314854344161,-1.12785617205935,0.181,0.201,1,"Gadd45g","KO_vs_WT"
0.381376050129312,-0.332978329035342,0.138,0.154,1,"Spg11","KO_vs_WT"
0.381558538557421,-0.30044090154421,0.417,0.41,1,"Ttc14","KO_vs_WT"
0.383493635747568,-0.365184749396822,0.086,0.102,1,"Ubac1","KO_vs_WT"
0.384560230235392,-0.313473024302019,0.176,0.196,1,"Usp10","KO_vs_WT"
0.384726625924562,0.319480856672778,0.11,0.094,1,"Zfp771","KO_vs_WT"
0.385390065936926,-0.414736466548327,0.102,0.118,1,"Ccdc112","KO_vs_WT"
0.3854637067665,-0.314131226149899,0.176,0.198,1,"Garem1","KO_vs_WT"
0.387042087553238,-0.406081196784495,0.355,0.358,1,"Crtc3","KO_vs_WT"
0.387144162892245,0.477056353433748,0.131,0.113,1,"4833419F23Rik","KO_vs_WT"
0.388935803125539,-0.399971119274231,0.509,0.493,1,"Utrn","KO_vs_WT"
0.390679796227839,-0.305520232641479,0.234,0.251,1,"Tmem106c","KO_vs_WT"
0.390948036465866,-0.42681443206012,0.091,0.107,1,"Polr3g","KO_vs_WT"
0.392699743422843,-0.307782256620063,0.99,0.983,1,"Junb","KO_vs_WT"
0.392991685738688,-0.274626721921036,0.138,0.157,1,"Cep19","KO_vs_WT"
0.39382153807836,-0.331471812708636,0.119,0.138,1,"Mrps35","KO_vs_WT"
0.393927041446719,-0.39697315129595,0.283,0.295,1,"Zfp292","KO_vs_WT"
0.394317499270183,-0.380558820397196,0.248,0.262,1,"Pygo2","KO_vs_WT"
0.395172881353059,-0.336435298037246,0.152,0.129,1,"Jrkl","KO_vs_WT"
0.397053149599479,-0.591620180842647,0.136,0.152,1,"Ephx1","KO_vs_WT"
0.397304658214391,-0.487947559076138,0.091,0.107,1,"Polr3d","KO_vs_WT"
0.397873081065491,0.593149671943845,0.116,0.099,1,"Pla2g7","KO_vs_WT"
0.397939697961867,-0.293731285077028,0.241,0.256,1,"Sec23a","KO_vs_WT"
0.398752026512831,-0.32359001296006,0.102,0.118,1,"Ptges2","KO_vs_WT"
0.39983915814595,0.380895724011885,0.666,0.603,1,"Hspa1b","KO_vs_WT"
0.400114728332446,-0.276694788903978,0.44,0.435,1,"Dnajb2","KO_vs_WT"
0.401027467370912,-0.525583055496953,0.145,0.16,1,"Kifap3","KO_vs_WT"
0.403338374712444,-0.501788975212609,0.502,0.435,1,"Trio","KO_vs_WT"
0.403376022018356,-0.345522327282874,0.114,0.132,1,"Mrpl49","KO_vs_WT"
0.406503214745805,-0.367616754644771,0.24,0.256,1,"Cebpzos","KO_vs_WT"
0.406888802828378,-0.439140168340895,0.157,0.174,1,"Rufy3","KO_vs_WT"
0.408443658839045,-0.431821635163991,0.114,0.129,1,"Meis3","KO_vs_WT"
0.409662543127328,-0.372922288080135,0.297,0.311,1,"Mier3","KO_vs_WT"
0.411523450239997,-0.299042671941968,0.184,0.204,1,"Epop","KO_vs_WT"
0.41296773871131,-0.63805081033362,0.116,0.129,1,"Zc3h6","KO_vs_WT"
0.413869808214087,-0.266639789705263,0.271,0.284,1,"Irf3","KO_vs_WT"
0.41397108887391,-0.278888444293969,0.188,0.204,1,"Fbxo9","KO_vs_WT"
0.414309639501374,-0.375924653950652,0.284,0.289,1,"Cenpq","KO_vs_WT"
0.415810651143384,-0.365673113486869,0.338,0.298,1,"Trim15","KO_vs_WT"
0.417595156293574,-0.336815773081534,0.39,0.386,1,"Atl3","KO_vs_WT"
0.419753629738881,-0.345696125762487,0.302,0.311,1,"Tmem135","KO_vs_WT"
0.41986240596832,-0.398753670100096,0.09,0.105,1,"Sft2d3","KO_vs_WT"
0.419922893697902,-0.299142164990892,0.209,0.179,1,"Prorp","KO_vs_WT"
0.420277207823976,-0.461152808003411,0.167,0.182,1,"Tada3","KO_vs_WT"
0.421237602681433,-0.536266594781781,0.134,0.149,1,"Ubqln2","KO_vs_WT"
0.422284137954745,-0.286393440921433,0.136,0.154,1,"Rnf139","KO_vs_WT"
0.422540442406738,0.72071893161757,0.126,0.11,1,"Gm26542","KO_vs_WT"
0.422946424478009,-0.609973905105773,0.122,0.138,1,"Cdc42ep1","KO_vs_WT"
0.424087478704116,0.306987058997624,0.152,0.132,1,"4933433G15Rik","KO_vs_WT"
